,personSubjID,personObjID,action,details,placeID
0,1950.0,,was,to hold between 50 and 70 protective custody prisoners.,3
1,14784.0,,registered,as participants in the FAD from October 1933.,3
2,9965.0,,subordinated,"to the Ministry of Interior and, moreover, were at different times commanded by the same person, Franz Konstantin Mohr.",14
3,5632.0,,changed,"fundamentally under his successor, Police Captain Biniossek, who was in turn replaced in October by party careerist SS-Standartenführer Hans Helwig.",14
4,15564.0,,used,the panic shooting of two policemen by former Social Democrat Member of Parliament Christian Nussbaum as an opportunity to act against political adversaries in general.,14
5,10507.0,,used,the panic shooting of two policemen by former Social Democrat Member of Parliament Christian Nussbaum as an opportunity to act against political adversaries in general.,14
6,9567.0,,were,"the Social Democrats Stefan Meier (who was to die at Mauthausen in 1944) and Philipp Martzloff, as well as Communist Georg Lechleiter who after his release became editor of the illegal paper Der Vorbote.",14
7,9402.0,,were,"the Social Democrats Stefan Meier (who was to die at Mauthausen in 1944) and Philipp Martzloff, as well as Communist Georg Lechleiter who after his release became editor of the illegal paper Der Vorbote.",14
8,8420.0,,were,"the Social Democrats Stefan Meier (who was to die at Mauthausen in 1944) and Philipp Martzloff, as well as Communist Georg Lechleiter who after his release became editor of the illegal paper Der Vorbote.",14
9,16144.0,,was,"Communist and social scientist Karl August Wittfogel, who after emigrating to Britain published his experiences, although he only reports on his imprisonment in the Esterwegen camp complex.",14
10,6747.0,,failed,and resulted in the number of guards being increased from 13 to 25.,14
11,5796.0,,organized,the only documented political demonstration by Ankenbuck inmates.,14
12,16545.0,,inmates,about the death of Klara Zetkin and asked them to stand for a minute’s silence to honor her.,14
13,9965.0,,underwent,a denazification trial.,14
14,14329.0,,were,Social Democrat Fritz Strothmann and Communist Willi Dickhut.,16
15,2663.0,,ordered,"a three-day denial of noon rations for Communist detainees, which was particularly onerous for those at Anrath, who were about to embark for the Emsland camp complex.",16
16,5865.0,,dedicated,the tree in the Reich president’s honor during the Nazi May Day festivities.,16
17,16250.0,,was,16 years old.,39
